window,train_days,test_days,bc_revenue,threshold_revenue,oracle_revenue,bc_vs_threshold_pct,bc_pct_of_oracle,train_time_s,bc_win,best_cr,best_dr
0,180,90,27558.0,0.0,2823581.656799997,0.0,0.9759944,2.270045042037964,True,0.5,1.45
1,270,90,27558.0,0.0,2823581.656799997,0.0,0.9759944,2.7146401405334473,True,0.5,1.45
2,360,90,6550336.5,6837554.0,21168582.772267442,-4.200588703155518,30.94367,3.687978982925415,False,0.5,1.45
3,450,90,8465837.0,12074792.0,36397797.16228337,-29.88833999633789,23.259201,4.398263216018677,False,0.6,1.5
4,540,90,1872773.4,6445850.0,23956663.22730323,-70.94605255126953,7.8173375,5.710664987564087,False,0.5,1.5
5,630,90,-3296358.5,8464275.0,24795536.118347444,-138.9443817138672,-13.294161,6.362921953201294,False,0.55,1.45
6,720,90,4319737.0,7118736.0,22574624.469543137,-39.318763732910156,19.135366,6.983737230300903,False,0.55,1.45
7,810,90,6466763.0,8152115.0,26384357.539963312,-20.67380142211914,24.509836,8.107799053192139,False,0.55,1.4
8,900,90,6958806.5,7382630.0,23313614.158691633,-5.740819931030273,29.848682,8.994262933731079,False,0.5,1.4
9,990,90,2695675.5,5400700.5,19258384.622946095,-50.0865592956543,13.997414,9.989650964736938,False,0.5,1.4
10,1080,90,6971625.0,8201119.0,25945045.66471103,-14.99178409576416,26.870737,10.898126125335693,False,0.5,1.4
11,1170,90,7312215.0,9610637.0,22909522.439749826,-23.915395736694336,31.917799,11.653869152069092,False,0.5,1.35
12,1260,90,4471245.0,8886358.0,23611560.377753012,-49.684165954589844,18.936678,12.657956838607788,False,0.5,1.3
13,1350,90,2280501.5,5049400.5,17936159.63901011,-54.83619689941406,12.714547,13.514216899871826,False,0.5,1.3
14,1440,90,4111232.2,7984964.0,19743074.738357726,-48.51282501220703,20.823668,14.145914077758789,False,0.5,1.3
15,1530,90,6519777.0,10369464.0,24410154.135103628,-37.12522506713867,26.709282,15.321181774139404,False,0.5,1.3
16,1620,90,1127060.0,10239800.0,24787285.17902231,-88.99333953857422,4.5469275,15.854609966278076,False,0.5,1.3
17,1710,90,-430996.0,5836588.0,15502165.85682249,-107.38438415527344,-2.780231,17.23113989830017,False,0.5,1.3
18,1800,90,2136479.5,6914310.0,18478528.07725328,-69.1006088256836,11.561957,18.64866590499878,False,0.5,1.3
19,1890,90,6807409.5,9734071.0,23284112.020547427,-30.066162109375,29.236286,18.837507963180542,False,0.5,1.3
