key,province,config,milp_revenue,regime_v3_revenue,lgbm_revenue,oracle_revenue,vs_regime_v3_pct,vs_lgbm_pct,milp_capture_pct,n_failed,wall_time_min
shandong_K_050,shandong,K_050,39028983.36175227,53810000,44160000,83080000,-27.46890287724908,-11.619149996031997,46.97759191351983,0,7.526876135667165
shandong_K_100,shandong,K_100,40541403.0015419,53810000,44160000,83080000,-24.65823638442316,-8.194286681290997,48.79802961187036,0,17.613578780492148
shandong_baseline,shandong,baseline,41803647.43595796,53810000,44160000,83080000,-22.31249315005025,-5.33594330625462,50.31734164174044,0,68.95162478288015
shandong_deg_08,shandong,deg_08,39177732.44414819,53810000,44160000,83080000,-27.19246897575136,-11.282308776838335,47.156635103693056,0,63.22677317063014
shandong_deg_20,shandong,deg_20,36591618.273925126,53810000,44160000,83080000,-31.99847932740174,-17.138545575350715,44.0438351876807,0,66.33845514853796
shandong_deg_50,shandong,deg_50,28337043.711675666,53810000,44160000,83080000,-47.33870337915691,-35.83096985580691,34.10814120326874,0,69.70911355018616
shandong_dev_00,shandong,dev_00,46641709.942802034,53810000,44160000,83080000,-13.321483102021869,5.619814182069827,56.14071971930914,0,12.183197669188182
shandong_dev_20,shandong,dev_20,27779897.895866197,53810000,44160000,83080000,-48.37409794486862,-37.092622518418935,33.43752755881824,0,62.688121219476066
shandong_dev_50,shandong,dev_50,-16001735.815766027,53810000,44160000,83080000,-129.73747596314072,-136.2358148001948,-19.26063531026243,0,40.63142133553823
