day_idx,revenue,status,solve_time
0,73404.45029373643,optimal,43.07484316825867
1,189503.93356943203,optimal,34.51467418670654
2,210863.5809452612,optimal,28.396461009979248
3,137184.9700984925,optimal,65.61112403869629
4,114941.65148777996,optimal,30.271029949188232
5,158596.50836606053,optimal,35.03708791732788
6,198304.93139104004,optimal,32.004019021987915
7,173108.78253950164,optimal,32.5178108215332
8,181919.5074789755,optimal,30.665761947631836
9,196164.07555004436,optimal,27.50744104385376
10,181212.40157614174,optimal,31.48324704170227
11,198661.64088964486,optimal,32.976150035858154
12,170545.17815640365,optimal,33.32418489456177
13,145710.40074959482,optimal,31.514822006225586
14,147198.0599913116,optimal,30.84041714668274
